target_term_id  target_label  organism  target_symbol target_gene_name  target_class  url_no  is_current  date_created  created_by
Q99856  ARID3A 	Human 	null 	ARID3A 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P04150 	NR3C1 	Human 	null 	NR3C1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q16656 	NRF1 	Human 	null 	NRF1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P11940 	PABPC1 	Human 	null 	PABPC1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q02548 	PAX5 	Human 	null 	PAX5 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q02650 	PAX5 	Mouse 	null 	Pax5 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P40426 	PBX3 	Human 	null 	PBX3 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9UPP1 	PHF8 	Human 	null 	PHF8 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P78337 	PITX1 	Human 	null 	PITX1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P29590 	PML 	Human 	null 	PML 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P24928 	POLR2A 	Human 	null 	POLR2A 	Pol2 	null 	FALSE 	30-SEP-2012	ENCODE2
P24928 	POLR2A 	Human 	null 	POLR2A 	Pol2 	null 	TRUE 	30-SEP-2012	ENCODE2
P08775 	POLR2A 	Mouse 	null 	Polr2a 	Pol2 	null 	TRUE 	30-SEP-2012	ENCODE2
O15318 	POLR3G 	Human 	null 	POLR3G 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P09086 	POU2F2 	Human 	null 	POU2F2 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q01860 	POU5F1 	Human 	null 	POU5F1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9UBK2 	PPARGC1A 	Human 	null 	PPARGC1A 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O75626 	PRDM1 	Human 	null 	PRDM1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O60216 	RAD21 	Human 	null 	RAD21 	DNARep 	null 	TRUE 	30-SEP-2012	ENCODE2
Q61550 	RAD21 	Mouse 	null 	Rad21 	DNARep 	null 	TRUE 	30-SEP-2012	ENCODE2
Q15291 	RBBP5 	Human 	null 	RBBP5 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9UKL0 	RCOR1 	Human 	null 	RCOR1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8CFE3 	RCOR1 	Mouse 	null 	Rcor1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P18615 	RDBP 	Human 	null 	RDBP 	TFNS 	null 	TRUE 	30-SEP-2012	ENCODE2
P19426 	RDBP 	Mouse 	null 	Rdbp 	TFNS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q04206 	RELA 	Human 	null 	RELA 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q13127 	REST 	Human 	null 	REST 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8VIG1	REST 	Mouse 	null 	Rest 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P48382 	RFX5 	Human 	null 	RFX5 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q99496 	RNF2 	Human 	null 	RNF2 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O14802 	RPC155 	Human 	null 	POLR3A 	Pol3F 	null 	TRUE 	30-SEP-2012	ENCODE2
Q13761 	RUNX3 	Human 	null 	RUNX3 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P19793 	RXRA 	Human 	null 	RXRA 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
O75446 	SAP30 	Human 	null 	SAP30 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q15047 	SETDB1 	Human 	null 	SETDB1 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
Q15047 	SETDB1 	Human 	null 	SETDB1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q96ST3 	SIN3A 	Human 	null 	SIN3A 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
Q60520 	SIN3A 	Mouse 	null 	Sin3a 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
Q96ST3 	SIN3AK20 	Human 	null 	SIN3A 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8N6T7 	SIRT6 	Human 	null 	SIRT6 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8N196 	SIX5 	Human 	null 	SIX5 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q14493 	SLBP 	Human 	null 	SLBP 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P51532 	SMARCA4 	Human 	null 	SMARCA4 	ChromRem 	null 	TRUE 	30-SEP-2012	ENCODE2
Q12824 	SMARCB1 	Human 	null 	SMARCB1 	ChromRem 	null 	TRUE 	30-SEP-2012	ENCODE2
Q92922 	SMARCC1 	Human 	null 	SMARCC1 	ChromRem 	null 	TRUE 	30-SEP-2012	ENCODE2
Q8TAQ2 	SMARCC2 	Human 	null 	SMARCC2 	ChromRem 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9UQE7 	SMC3 	Human 	null 	SMC3 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9CW03 	SMC3 	Mouse 	null 	Smc3 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P08047 	SP1 	Human 	null 	SP1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q02086 	SP2 	Human 	null 	SP2 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q02446 	SP4 	Human 	null 	SP4 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P17947 	SPI1 	Human 	null 	SPI1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P36956 	SREBP1 	Human 	null 	SREBF1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q12772 	SREBP2 	Human 	null 	SREBF2 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P11831 	SRF 	Human 	null 	SRF 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9JM73 	SRF 	Mouse 	null 	Srf 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P42224 	STAT1 	Human 	null 	STAT1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P52630 	STAT2 	Human 	null 	STAT2 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P40763 	STAT3 	Human 	null 	STAT3 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P42229 	STAT5A 	Human 	null 	STAT5A 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
O00267 	SUPT5H 	Human 	null 	SUPT5H 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q15022 	SUZ12 	Human 	null 	SUZ12 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
P21675 	TAF1 	Human 	null 	TAF1 	TFNS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q15545 	TAF7 	Human 	null 	TAF7 	TFNS 	null 	TRUE 	30-SEP-2012	ENCODE2
P17542 	TAL1 	Human 	null 	TAL1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P22091 	TAL1 	Mouse 	null 	Tal1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9BZK7 	TBL1XR1 	Human 	null 	TBL1XR1 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P20226 	TBP 	Human 	null 	TBP 	TFNS 	null 	TRUE 	30-SEP-2012	ENCODE2
P29037	TBP 	Mouse 	null 	Tbp 	TFNS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q99081 	TCF12 	Human 	null 	TCF12 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q61286 	TCF12 	Mouse 	null 	Tcf12 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P15923 	TCF3 	Human 	null 	TCF3 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P15806 	TCF3 	Mouse 	null 	Tcf3 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9NQB0 	TCF7L2 	Human 	null 	TCF7L2 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9NQB0 	TCF7L2 	Human 	null 	TCF7L2 	null 	null 	FALSE 	30-SEP-2012	ENCODE2
Q15561 	TEAD4 	Human 	null 	TEAD4 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P05549 	TFAP2A 	Human 	null 	TFAP2A 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q92754 	TFAP2C 	Human 	null 	TFAP2C 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q9NVV9 	THAP1 	Human 	null 	THAP1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
P04637 	TP53 	Human 	null 	TP53 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
Q13263 	TRIM28 	Human 	null 	TRIM28 	HISase 	null 	TRUE 	30-SEP-2012	ENCODE2
O94972 	TRIM37 	Human 	null 	TRIM37 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P17480 	UBTF 	Human 	null 	UBTF 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P25976 	UBTF 	Mouse 	null 	Ubtf 	null 	null 	TRUE 	30-SEP-2012	ENCODE2
P22415 	USF1 	Human 	null 	USF1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q61069 	USF1 	Mouse 	null 	Usf1 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
Q15853 	USF2 	Human 	null 	USF2 	TFSS 	null 	TRUE 	30-SEP-2012	ENCODE2
