biosample_document_no	biosample_no	document_no	is_current	date_created	created_by
8b142bab-d38e-486e-9ce7-e45022b3001d	NT2-D1	ENCODE:NT2-D1_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
40792158-1613-47f4-ae3f-dc3400c097d3	K562	ENCODE:K562_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
7272456e-2ea7-4987-ab0d-42f350204e98	HFL11W	ENCODE:HFL11W_and_HFL24W_Myers_protocols.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
68a26c90-db25-47cb-94ef-177974271fc6	HAoAF_6090101.11	Gingeras:HAoAF6090101.11_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
0b1b695a-5809-44c4-b430-92e673b5517c	bone_marrow_MSC	Stam:MSC_marrow-fibroblastoid_SOP_v2.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
61aba16f-4fad-4d0e-83e7-cc4ef03ec270	HCF	Stam:HCF_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ee17f45a-1119-47b4-bc0c-f48a239ff058	NHEM.f_M2_6022001	Gingeras:NHEM.fM26022001_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3c4edc64-df16-4f4c-97da-a7186681d3dc	HCM	Stam:HCM_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
31849c9b-4eb9-4a8d-bdc7-9087f5899556	HCH_8100808.2	Gingeras:HCH8100808.2_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
6936cf77-6548-4142-aa2f-b3a487075ec2	NHEM_M2_7011001.2	Gingeras:NHEMM27011001.2_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
a5615f2f-6f84-4d25-a3c9-660d72fb63ff	GM19238	Crawford:GM19238_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e355a8ad-6e07-410f-84c1-06b4962da68d	GM19239	Crawford:GM19239_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
2f72a762-d9a4-4670-b0b7-58ca6ff9d3f7	CD20+_RO01794	Stam:CD20+_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
78a84a85-7a89-4490-aec5-c225e755b9bb	PBMC	Farnham:PBMC_Farnham_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
a12b267b-0bf6-4502-ad7b-b66441f48178	Cerebrum_frontal_OC	Crawford:CerebrumfrontalOC_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
fe8d6bbc-b28a-4125-963f-40dd359216d1	HUVEC	ENCODE:HUVEC_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
9d1dead3-3c0d-435b-8b3e-f9a045055fb8	GM13977	Crawford:GM13977_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
16251f41-101c-46d7-9a46-fd1e36a48fba	Breast_OC	Crawford:BreastOC_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
4dae9dc8-2b00-4d57-a50f-12ac3985cf67	Lung_OC	Crawford:LungOC_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1c4dab2c-56b7-470c-9d70-24acc85c4c56	NHEM_M2_7012303	Gingeras:NHEMM27012303_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
12d3f81d-ef32-4d27-ab6a-8def330111f7	H9ES	Myers:BG02ES_and_H9ES_Myers_protocols.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
784ee76c-6f44-411d-8480-cf6011cb5ee6	SK-N-SH	Myers:SK-N-SH_Myers_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
be676f47-8f13-47ae-be85-b6232d52875f	G1E	Hardison:G1E_Hardison_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b1f727ff-5644-48f8-b40b-54514f58add5	Pancreas_OC	Crawford:PancreasOC_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
90854834-7447-400a-af54-b3733bf699ad	HMVEC-LLy	Stam:HMVEC-LLy_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
4d9d28cc-e43f-4dbd-bcd2-43157007ffed	HPC-PL_0032601.13	Gingeras:HPCPL0032601.13_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
bb4eba04-7f54-4f6e-8ec0-ea2b08fdf900	Fibrobl	Crawford:fibroblast_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
bfaac796-9c91-4b80-a63d-957e993a6912	Kidney_OC	Crawford:KidneyOC_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
770fb6b7-8c31-4286-a0ad-88f31f71aa68	SpinalCord	Ren:Tissue_Ren_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
695177dc-37b9-497d-94c7-639f37be6b8f	GM06990	Stam:Stam_15_protocols.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
8053e20a-0d1f-45c0-ac31-ab60e20f82c8	ES-WW6_F1KO	Stam:ES-WW6_F1K0_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
8c5c5ba9-2884-4614-8da3-9869fe013321	bone_marrow_HS27a	Stam:HS27a_SOP-1.V.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
6df4d8a1-c20d-4ca7-b5d8-15a957f54738	MRT_TTC549	Crawford:MRTTTC549_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
c3848656-54fe-4db0-a6f6-430d49d990e8	ES-TT2	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
cb130396-85eb-462f-b4b4-e7c66d7ed0a9	GM19240	Crawford:GM19240_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d270af61-d141-428d-b7cc-a827df19ac81	Raji	Farnham:Raji_Farnham_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
5297a5f3-e979-443d-a3fb-14db180bb851	bone_marrow_HS5	Stam:HS5_SOP-1.V1-2.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
27f254b6-a118-42e3-a71c-40a10b95564c	ECC-1	Myers:ECC1_Myers_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1a6c2954-a0e2-4ecf-9ea4-c9d2e3167bd3	Treg_Wb83319432	Stam:AdultCD4naiveTcell_Crawford.v2_PlusStam.v1_SOP.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
15e214dd-18a2-4fb2-b924-c6bf61b2f099	hMSC-BM_0050602.11	Gingeras:hMSCBM0050602.11_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
aefe9ed5-c36d-4d10-a7a1-39b485fc81d6	BAT	Ren:BAT_Ren_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
fcac2423-91ce-45e3-9884-234536916aac	HMVEC-dAd	Stam:HMVECdAd_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
45d3eb60-3611-47ad-88ec-6591f354c28b	AG04449	Stam:AG04449_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
bcc7d599-3f7a-492d-9e29-8fd4c650c1da	HPAF	Stam:HPAF_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
11326ff4-a38b-4684-953a-6ba6f8637da7	Colon_OC	Crawford:ColonOC_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d8d21f48-4372-4861-90a9-884417469a6d	FVLstem	Hardison:FVLstem_Hardison_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
55ac1c77-8e62-48d7-a38d-817e155bfaa6	HSMMtube_emb	Crawford:HSMMtubeemb_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
8e3c567a-d68b-4a67-8073-68eab787d2b6	iPS	Crawford:iPS_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
772fe026-77cd-4967-8b3e-4bcaf15aa530	Monocytes-CD14+_RO01826	Stam:MonoCD14_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
caabf3e1-8fe7-477b-8002-98d136461773	HA-h	Stam:HAh_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f194aa51-d8d2-4153-8e5a-6731022dc6f1	ovcar-3	Stam:Stam_15_protocols.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
0741e0a7-d022-4585-aeae-2a00faa70882	GM12878	ENCODE:GM12878_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
919c8187-8c80-4ef2-a715-2c13eca972fa	GM12875	Stam:GM12875_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
29606de5-e86b-4129-89c3-f6b4edf3637c	GM12874	Stam:GM12874_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ef268ef8-143d-436c-8929-c17fde149969	GM12871	Stam:GM12871_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
79af6c97-8bbc-40f8-8264-3e1b7c3a9f0e	GM12870	Stam:GM12870_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
62a5670a-f7c5-4c12-ac54-c0f9f97bf499	GM12873	Stam:GM12873_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3df8dda6-51cf-4217-a7f3-43660d78dce5	GM19099	Snyder:GM-generalized_Snyder_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
34cdb70f-3f74-44fd-b1d4-cdef10031478	FatPad	Stam:Tissue_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
42a2d5cb-9de1-41e4-80c9-1bd0c57f8731	GM12892	Crawford:GM12892_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e77d49e8-5731-4f4b-be42-e3afbd697a13	Monocytes-CD14+	Stam:MonoCD14_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
4165de1b-cb4f-41e4-8787-ebcd39a05a5b	SkMC_8121902.17	Gingeras:SkMC8121902.17_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f0bedcf0-7479-4776-9764-7d412c96c9b4	HGF	Stam:HGF_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
da6de6ed-4315-4737-b143-5180a5467fc1	prostate	Gingeras:Prostate_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
dec7710e-73e4-4b92-854d-8082b4e3cb67	BC_Pericardium_H12529N	Myers:Myers_BioChain_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f22f123c-4768-425a-bd72-5f4d13482f79	hMSC-AT_0102604.12	Gingeras:hMSCAT0102604.12_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
23386af2-4a8b-4705-97e3-5de607f5ab01	H0287	Stam:H0287_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
955885fe-84b7-40f4-b705-978857ab88f3	TReg-Activated	Stam:TReg-Activated_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d28300c7-c207-4088-b214-cab41024905b	CD4+_Naive_Wb78495824	Crawford_Stam:AdultCD4naiveTcell_Crawford.v2_PlusStam.v1_SOP.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
29d8fc64-d58d-4b63-bf18-c091847f4984	BC_Left_Ventricle_N41	Myers:Myers_BioChain_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
dfa4b7d8-a8ab-4892-8b4b-045b9ae7baf5	EPC_(CD117+_CD71+_TER119+)	UW:EPC_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ec2be0a5-59dc-4ce2-93f3-d0e3978b17ca	GM04504	Stam:GM04504A_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
bb59afb1-468b-4122-b9e8-7d3c5fea3d12	GM18507	ENCODE:GM18507_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
bdc5f8fe-5100-47e7-ad18-d5c4617d8347	GM04503	Stam:GM04503D_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
76f9e927-bbb8-4130-8d0d-28ab75f82ec7	GM18505	Snyder:GM-generalized_Snyder_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
6fd14724-b4c9-4b39-aa72-348f0b301baf	HVMF_6091203.3	Gingeras:HVMF6091203.3_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ebaab155-4617-4eac-a310-99c2c20f5215	HVMF_6100401.3	Gingeras:HVMF6100401.3_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b6ebc228-a018-4123-bc7e-c7f6f7b412dd	HAoAF_6111301.9	Gingeras:HAoAF6111301.9_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d84d270a-996e-448a-8594-d076c4bb2bc8	HindlimbBud	Stam:HindlimbBuds_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
03483949-a65a-4dd4-8392-faf0f3667d7f	Bladder	Gingeras:Bladder_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
297ed3aa-57e7-445d-ad24-d036fa9d0811	BC_Placenta_UHN00189	Myers:Myers_BioChain_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1d9e779e-5549-41ba-8234-2d40727940f2	L1210	Gilbert:L1210_Gilbert_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
a94ad03e-4c68-4e01-9867-e9edb9dc046d	Liver_STL011	missing	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
21e6fbe8-8a79-489c-ab76-8d08a3342e67	hMNC-CB_9111701.6	Gingeras:hMNCCB9111701.6_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
00400a31-f39c-45ee-89d4-c402b80aa02c	Duodenum	Gingeras:Duodenum_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
4ebbaacc-9fcb-4ee4-9c06-c0e668dcd771	Lymphoblastoid_cell_line	Stam:Stam_15_protocols.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
88b21a72-a195-4530-820a-75b55be3acaf	HRE	Stam:HRE_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
53e4b1a5-79a4-4eb4-b09f-431a80b43710	AG09319	Stam:AG09319_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
2abe1466-4de9-4cf3-9dfe-f3d697a1cdfc	SkMuscle	Stam:SkeletalMuscle_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
43f5ff87-0b0f-409d-a2c4-2944a69b0ada	BC_Kidney_01-11002	Myers:Myers_BioChain_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b47b5c13-6f96-43be-af96-657a07fd94c3	Treg_Wb78495824	Stam:AdultCD4naiveTcell_Crawford.v2_PlusStam.v1_SOP.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
0af08e70-7134-434c-ac9e-3728e27cf315	HMVEC-dBl-Neo	Stam:HMVEC-dBl-Neo_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
f209ff2a-2667-4459-bde2-f716c89407bb	Cord_CD4_naive	Crawford_Stam:AdultCD4naiveTcell_Crawford.v2_PlusStam.v1_SOP.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
089891cb-82db-481e-bb3a-d9ab7f562d23	Skin	Ren:Tissue_Ren_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ff127976-87e0-4cf4-b15c-2feefe2e468e	GM12872	Stam:GM12872_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
8e2c0496-2d8e-47fc-a7a8-9be4a8ba0024	HMVEC-dLy-Ad	Stam:HMVEC-dLy-Ad_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e9e631df-829d-46f6-8d75-b95660169451	iPS_NIHi11	Crawford:iPS_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
386f9d3a-08c0-470b-aca5-bf5c7b2e1c46	AoAF	Stam:AoAF_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d4e00354-233a-419b-adf6-23e76758f878	3134	Stam:3134_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1433ddd4-195e-4e10-9d3a-2e865e481bc2	NHDF-neo	Stam:NHDF-neo_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
e6b5cdaa-90d8-4a59-9f8e-cf21e4d5745e	Loucy	Bernstein:Loucy_Bernstein_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b098c5eb-20e0-4ee9-8c97-70ef7eb8777a	Retina	Stam:Retina_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
1cd78ab5-333f-4fb7-8738-071397999593	iPS_CWRU1	Crawford:iPS_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
6b5c23d7-9ec8-421a-a3ec-0554296bf74c	HMF	Stam:HMF_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d91db30a-57d8-4798-8aec-feeb20981647	T-Naive	Stam:Tissue_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
7c377bc8-f761-4649-9a15-4f93d0560367	Heart_OC	Crawford:HeartOC_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
56aa0286-8259-4058-b2a8-5b38968db434	SKMC	Stam:SkMC_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3ef3fa5e-45ec-4674-b06e-3f608647bb3b	Skeletal_Muscle_BC	Myers:Myers_BioChain_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
b50816bb-d920-4d70-92f6-14d702d68871	RCC_7860	Crawford:RCC7860_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
d21f33f0-1f95-404f-97a9-000a7fa4c41d	ES-neurons	Ren:ES-neurons_Ren_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
c8db71e0-963b-4b6a-a22a-76515f8c93cf	Kidney_BC	Myers:Myers_BioChain_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3ccc89ad-3e84-4679-8905-1b2f776fb2d2	GM12891	Crawford:GM12891_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ebf5850e-5383-4eb0-b518-1c8cee9e8728	HCFaa	Stam:HCFaa_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
c62dcd57-7bb9-4882-9c48-1e56c8544a2e	HSaVEC_9100101.15	Gingeras:HSaVEC9100101.15_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
3e390c41-b2c7-4eb6-8b38-28147f5dfb87	mG/ER	Stam:mG-ER_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
78b0e414-9ac1-4202-b27d-d850ad6365dc	Patski	Stam:Patski_Stam_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
ddd3ace8-03aa-4597-bd41-96630479f711	GM08714	Farnham:GM08714_Farnham_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
dd716889-f097-4cf4-bf82-449d43fbf878	BC_Lung_H12817N	Myers:Myers_BioChain_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
8e85df7e-490c-462b-b576-c9b2f84d4a48	Psoas_muscle_OC	Crawford:PsoasmuscleOC_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
aa411f39-0edc-4433-b879-d31ddfd8424d	Pancreas	Ren:Pancreas_Ren_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
925f7dd2-1e58-4e19-b79e-75bbb39db94c	CLL	Crawford:CLL_Crawford_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
8a213dad-67d7-4909-9a26-0feda96dcc62	NHDF_7071701.2	Gingeras:NHDF7071701.2_Gingeras_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
53f69d35-58a0-438a-8052-c683151e0ba3	GM15510	Snyder:GM-generalized_Snyder_protocol.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
edb9dc9b-b7eb-48b4-9d45-5655030ce8f3	H9ES-EB	Myers:BG02ES_and_H9ES_Myers_protocols.pdf	Yes	Wed Feb  6 14:19:23 PST 2013	Jeff Long
