1	human	BU	Orchid	None	\N	wgEncodeEH000001	2011-04-20 09:41:32
26	human	Affy	RnaChip	GM12878	localization=nucleolus rnaExtract=total	wgEncodeEH000026	2011-04-20 12:55:24
27	human	Affy	RnaChip	HepG2	localization=nucleolus rnaExtract=total	wgEncodeEH000027	2011-04-20 12:55:24
28	human	Broad	ChipSeq	GM12878	antibody=H3K4me3	wgEncodeEH000028	2011-04-20 08:34:51
29	human	Broad	ChipSeq	GM12878	antibody=CTCF	wgEncodeEH000029	2011-04-20 08:34:51
30	human	Broad	ChipSeq	GM12878	antibody=H3K27ac	wgEncodeEH000030	2011-04-20 08:34:51
31	human	Broad	ChipSeq	GM12878	antibody=H3K27me3	wgEncodeEH000031	2011-04-20 08:34:51
32	human	Broad	ChipSeq	GM12878	antibody=H3K36me3	wgEncodeEH000032	2011-04-20 08:34:51
33	human	Broad	ChipSeq	GM12878	antibody=H3K4me1	wgEncodeEH000033	2011-04-20 08:34:51
34	human	Broad	ChipSeq	GM12878	antibody=H3K4me2	wgEncodeEH000034	2011-04-20 08:34:51
35	human	Broad	ChipSeq	GM12878	antibody=H3K9ac	wgEncodeEH000035	2011-04-20 08:34:51
36	human	Broad	ChipSeq	GM12878	antibody=H4K20me1	wgEncodeEH000036	2011-04-20 08:34:51
37	human	Broad	ChipSeq	GM12878	antibody=Input	wgEncodeEH000037	2011-04-20 08:34:51
38	human	Broad	ChipSeq	HUVEC	antibody=H3K27me3	wgEncodeEH000038	2011-04-20 08:34:51
39	human	Broad	ChipSeq	HUVEC	antibody=H3K4me1	wgEncodeEH000039	2011-04-20 08:34:51
40	human	Broad	ChipSeq	HUVEC	antibody=H3K4me2	wgEncodeEH000040	2011-04-20 08:34:51
41	human	Broad	ChipSeq	HUVEC	antibody=H3K4me3	wgEncodeEH000041	2011-04-20 08:34:51
42	human	Broad	ChipSeq	K562	antibody=CTCF	wgEncodeEH000042	2011-04-20 08:34:51
43	human	Broad	ChipSeq	K562	antibody=H3K27ac	wgEncodeEH000043	2011-04-20 08:34:51
44	human	Broad	ChipSeq	K562	antibody=H3K27me3	wgEncodeEH000044	2011-04-20 08:34:51
45	human	Broad	ChipSeq	K562	antibody=H3K36me3	wgEncodeEH000045	2011-04-20 08:34:51
46	human	Broad	ChipSeq	K562	antibody=H3K4me1	wgEncodeEH000046	2011-04-20 08:34:51
47	human	Broad	ChipSeq	K562	antibody=H3K4me2	wgEncodeEH000047	2011-04-20 08:34:51
48	human	Broad	ChipSeq	K562	antibody=H3K4me3	wgEncodeEH000048	2011-04-20 08:34:51
49	human	Broad	ChipSeq	K562	antibody=H3K9ac	wgEncodeEH000049	2011-04-20 08:34:51
50	human	Broad	ChipSeq	K562	antibody=H3K9me1	wgEncodeEH000050	2011-04-20 08:34:51
51	human	Broad	ChipSeq	K562	antibody=H4K20me1	wgEncodeEH000051	2011-04-20 08:34:51
52	human	Broad	ChipSeq	K562	antibody=Input	wgEncodeEH000052	2011-04-20 08:34:51
53	human	Broad	ChipSeq	K562	antibody=Pol2(b)	wgEncodeEH000053	2011-04-20 08:34:51
54	human	Broad	ChipSeq	HUVEC	antibody=CTCF	wgEncodeEH000054	2011-04-20 08:34:51
55	human	Broad	ChipSeq	HUVEC	antibody=H3K27ac	wgEncodeEH000055	2011-04-20 08:34:51
56	human	Broad	ChipSeq	HUVEC	antibody=H3K36me3	wgEncodeEH000056	2011-04-20 08:34:51
57	human	Broad	ChipSeq	HUVEC	antibody=H3K9ac	wgEncodeEH000057	2011-04-20 08:34:51
58	human	Broad	ChipSeq	HUVEC	antibody=H3K9me1	wgEncodeEH000058	2011-04-20 08:34:51
59	human	Broad	ChipSeq	HUVEC	antibody=H4K20me1	wgEncodeEH000059	2011-04-20 08:34:51
60	human	Broad	ChipSeq	HUVEC	antibody=Input	wgEncodeEH000060	2011-04-20 08:34:51
61	human	Broad	ChipSeq	HUVEC	antibody=Pol2(b)	wgEncodeEH000061	2011-04-20 08:34:51
62	human	Broad	ChipSeq	NHEK	antibody=H3K4me1	wgEncodeEH000062	2011-04-20 08:34:51
63	human	Broad	ChipSeq	NHEK	antibody=CTCF	wgEncodeEH000063	2011-04-20 08:34:51
64	human	Broad	ChipSeq	NHEK	antibody=H3K27ac	wgEncodeEH000064	2011-04-20 08:34:51
65	human	Broad	ChipSeq	NHEK	antibody=H3K27me3	wgEncodeEH000065	2011-04-20 08:34:51
66	human	Broad	ChipSeq	NHEK	antibody=H3K36me3	wgEncodeEH000066	2011-04-20 08:34:51
67	human	Broad	ChipSeq	NHEK	antibody=H3K4me2	wgEncodeEH000067	2011-04-20 08:34:51
68	human	Broad	ChipSeq	NHEK	antibody=H3K4me3	wgEncodeEH000068	2011-04-20 08:34:51
69	human	Broad	ChipSeq	NHEK	antibody=H3K9ac	wgEncodeEH000069	2011-04-20 08:34:51
70	human	Broad	ChipSeq	NHEK	antibody=H3K9me1	wgEncodeEH000070	2011-04-20 08:34:51
71	human	Broad	ChipSeq	NHEK	antibody=H4K20me1	wgEncodeEH000071	2011-04-20 08:34:51
72	human	Broad	ChipSeq	NHEK	antibody=Input	wgEncodeEH000072	2011-04-20 08:34:51
73	human	Broad	ChipSeq	NHEK	antibody=Pol2(b)	wgEncodeEH000073	2011-04-20 08:34:51
74	human	Broad	ChipSeq	H1-hESC	antibody=H3K27me3	wgEncodeEH000074	2011-04-20 08:34:51
75	human	Broad	ChipSeq	HMEC	antibody=CTCF	wgEncodeEH000075	2011-04-20 08:34:51
76	human	Broad	ChipSeq	HMEC	antibody=H3K27ac	wgEncodeEH000076	2011-04-20 08:34:51
77	human	Broad	ChipSeq	HMEC	antibody=H3K27me3	wgEncodeEH000077	2011-04-20 08:34:51
78	human	Broad	ChipSeq	HMEC	antibody=H3K36me3	wgEncodeEH000078	2011-04-20 08:34:51
79	human	Broad	ChipSeq	HMEC	antibody=H3K9ac	wgEncodeEH000079	2011-04-20 08:34:51
80	human	Broad	ChipSeq	HepG2	antibody=CTCF	wgEncodeEH000080	2011-04-20 08:34:51
81	human	Broad	ChipSeq	HepG2	antibody=H3K36me3	wgEncodeEH000081	2011-04-20 08:34:51
82	human	Broad	ChipSeq	HepG2	antibody=H3K4me2	wgEncodeEH000082	2011-04-20 08:34:51
83	human	Broad	ChipSeq	HepG2	antibody=H3K9ac	wgEncodeEH000083	2011-04-20 08:34:51
84	human	Broad	ChipSeq	HepG2	antibody=Input	wgEncodeEH000084	2011-04-20 08:34:51
85	human	Broad	ChipSeq	H1-hESC	antibody=CTCF	wgEncodeEH000085	2011-04-20 08:34:51
86	human	Broad	ChipSeq	H1-hESC	antibody=H3K4me3	wgEncodeEH000086	2011-04-20 08:34:51
87	human	Broad	ChipSeq	H1-hESC	antibody=H4K20me1	wgEncodeEH000087	2011-04-20 08:34:51
88	human	Broad	ChipSeq	H1-hESC	antibody=Input	wgEncodeEH000088	2011-04-20 08:34:51
89	human	Broad	ChipSeq	HMEC	antibody=H3K4me1	wgEncodeEH000089	2011-04-20 08:34:51
90	human	Broad	ChipSeq	HMEC	antibody=H3K4me2	wgEncodeEH000090	2011-04-20 08:34:51
91	human	Broad	ChipSeq	HMEC	antibody=H3K4me3	wgEncodeEH000091	2011-04-20 08:34:51
92	human	Broad	ChipSeq	HMEC	antibody=H4K20me1	wgEncodeEH000092	2011-04-20 08:34:51
93	human	Broad	ChipSeq	HMEC	antibody=Input	wgEncodeEH000093	2011-04-20 08:34:51
94	human	Broad	ChipSeq	HepG2	antibody=H3K27ac	wgEncodeEH000094	2011-04-20 08:34:51
95	human	Broad	ChipSeq	HepG2	antibody=H3K4me3	wgEncodeEH000095	2011-04-20 08:34:51
96	human	Broad	ChipSeq	HepG2	antibody=H4K20me1	wgEncodeEH000096	2011-04-20 08:34:51
97	human	Broad	ChipSeq	NHLF	antibody=H3K27ac	wgEncodeEH000097	2011-04-20 08:34:51
98	human	Broad	ChipSeq	NHLF	antibody=H3K27me3	wgEncodeEH000098	2011-04-20 08:34:51
99	human	Broad	ChipSeq	NHLF	antibody=H3K36me3	wgEncodeEH000099	2011-04-20 08:34:51
100	human	Broad	ChipSeq	NHLF	antibody=H3K4me1	wgEncodeEH000100	2011-04-20 08:34:51
101	human	Broad	ChipSeq	NHLF	antibody=H3K4me2	wgEncodeEH000101	2011-04-20 08:34:51
102	human	Broad	ChipSeq	NHLF	antibody=H3K4me3	wgEncodeEH000102	2011-04-20 08:34:51
103	human	Broad	ChipSeq	NHLF	antibody=H3K9ac	wgEncodeEH000103	2011-04-20 08:34:52
104	human	Broad	ChipSeq	NHLF	antibody=H4K20me1	wgEncodeEH000104	2011-04-20 08:34:52
105	human	Broad	ChipSeq	NHLF	antibody=Input	wgEncodeEH000105	2011-04-20 08:34:52
106	human	Broad	ChipSeq	H1-hESC	antibody=H3K4me1	wgEncodeEH000106	2011-04-20 08:34:51
107	human	Broad	ChipSeq	H1-hESC	antibody=H3K36me3	wgEncodeEH000107	2011-04-20 08:34:51
108	human	Broad	ChipSeq	H1-hESC	antibody=H3K4me2	wgEncodeEH000108	2011-04-20 08:34:51
109	human	Broad	ChipSeq	H1-hESC	antibody=H3K9ac	wgEncodeEH000109	2011-04-20 08:34:51
110	human	Broad	ChipSeq	HSMM	antibody=CTCF	wgEncodeEH000110	2011-04-20 08:34:51
111	human	Broad	ChipSeq	HSMM	antibody=H3K27ac	wgEncodeEH000111	2011-04-20 08:34:51
112	human	Broad	ChipSeq	HSMM	antibody=H3K27me3	wgEncodeEH000112	2011-04-20 08:34:51
113	human	Broad	ChipSeq	HSMM	antibody=H3K36me3	wgEncodeEH000113	2011-04-20 08:34:51
114	human	Broad	ChipSeq	HSMM	antibody=H3K4me1	wgEncodeEH000114	2011-04-20 08:34:51
115	human	Broad	ChipSeq	HSMM	antibody=H3K4me2	wgEncodeEH000115	2011-04-20 08:34:51
116	human	Broad	ChipSeq	HSMM	antibody=H3K4me3	wgEncodeEH000116	2011-04-20 08:34:51
117	human	Broad	ChipSeq	HSMM	antibody=H3K9ac	wgEncodeEH000117	2011-04-20 08:34:51
118	human	Broad	ChipSeq	HSMM	antibody=H4K20me1	wgEncodeEH000118	2011-04-20 08:34:51
119	human	Broad	ChipSeq	HSMM	antibody=Input	wgEncodeEH000119	2011-04-20 08:34:51
120	human	Broad	ChipSeq	NHLF	antibody=CTCF	wgEncodeEH000120	2011-04-20 08:34:51
121	human	Caltech	RnaSeq	GM12878	readType=1x32	wgEncodeEH000121	2011-06-21 11:30:10
122	human	Caltech	RnaSeq	GM12878	insertLength=200 readType=2x75	wgEncodeEH000122	2011-05-12 13:43:24
123	human	Caltech	RnaSeq	K562	readType=1x32	wgEncodeEH000123	2011-06-21 11:30:10
124	human	Caltech	RnaSeq	K562	insertLength=200 readType=2x75	wgEncodeEH000124	2011-05-12 13:43:25
125	human	Caltech	RnaSeq	GM12878	readType=1x75D	wgEncodeEH000125	2011-05-12 13:43:24
126	human	Caltech	RnaSeq	K562	readType=1x75D	wgEncodeEH000126	2011-05-12 13:43:24
127	human	Caltech	RnaSeq	HepG2	insertLength=200 readType=2x75	wgEncodeEH000127	2011-05-12 13:43:24
128	human	Caltech	RnaSeq	H1-hESC	insertLength=200 readType=2x75	wgEncodeEH000128	2011-05-12 13:43:24
129	human	Caltech	RnaSeq	HUVEC	insertLength=200 readType=2x75	wgEncodeEH000129	2011-05-12 13:43:24
130	human	Caltech	RnaSeq	HeLa-S3	insertLength=200 readType=2x75	wgEncodeEH000130	2011-05-12 13:43:24
131	human	Caltech	RnaSeq	NHEK	insertLength=200 readType=2x75	wgEncodeEH000131	2011-05-12 13:43:25
132	human	Caltech	RnaSeq	H1-hESC	readType=1x75D	wgEncodeEH000132	2011-05-12 13:43:24
133	human	Caltech	RnaSeq	HUVEC	readType=1x75D	wgEncodeEH000133	2011-05-12 13:43:24
134	human	Caltech	RnaSeq	HeLa-S3	readType=1x75D	wgEncodeEH000134	2011-05-12 13:43:24
135	human	Caltech	RnaSeq	HepG2	readType=1x75D	wgEncodeEH000135	2011-05-12 13:43:24
136	human	Caltech	RnaSeq	NHEK	readType=1x75D	wgEncodeEH000136	2011-05-12 13:43:25
137	human	Caltech	RnaSeq	GM12878	insertLength=400 readType=2x75	wgEncodeEH000137	2011-05-12 13:43:24
138	human	Caltech	RnaSeq	H1-hESC	insertLength=400 readType=2x75	wgEncodeEH000138	2011-05-12 13:43:24
139	human	Caltech	RnaSeq	HepG2	readType=1x32	wgEncodeEH000139	2011-06-21 11:30:10
140	human	CSHL	RnaSeq	K562	localization=cytosol rnaExtract=longPolyA	wgEncodeEH000140	2011-06-20 11:33:45
141	human	CSHL	RnaSeq	GM12878	localization=cell rnaExtract=total	wgEncodeEH000141	2011-06-20 11:33:45
142	human	CSHL	RnaSeq	K562	localization=cell rnaExtract=total	wgEncodeEH000142	2011-06-20 11:33:45
143	human	CSHL	RnaSeq	A549	localization=cell rnaExtract=longPolyA	wgEncodeEH000143	2011-06-20 11:33:44
144	human	CSHL	RnaSeq	AG04450	localization=cell rnaExtract=longPolyA	wgEncodeEH000144	2011-06-20 11:33:45
145	human	CSHL	RnaSeq	BJ	localization=cell rnaExtract=longPolyA	wgEncodeEH000145	2011-06-20 11:33:45
146	human	CSHL	RnaSeq	GM12878	localization=cell rnaExtract=longPolyA	wgEncodeEH000146	2011-06-20 11:33:45
147	human	CSHL	RnaSeq	GM12878	localization=cytosol rnaExtract=longPolyA	wgEncodeEH000147	2011-06-20 11:33:45
148	human	CSHL	RnaSeq	GM12878	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000148	2011-06-20 11:33:45
149	human	CSHL	RnaSeq	H1-hESC	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000149	2011-06-20 11:33:45
150	human	CSHL	RnaSeq	H1-hESC	localization=cell rnaExtract=longPolyA	wgEncodeEH000150	2011-06-20 11:33:45
151	human	CSHL	RnaSeq	H1-hESC	localization=cytosol rnaExtract=longPolyA	wgEncodeEH000151	2011-06-20 11:33:45
152	human	CSHL	RnaSeq	H1-hESC	localization=nucleus rnaExtract=longPolyA	wgEncodeEH000152	2011-06-20 11:33:45
153	human	CSHL	RnaSeq	HMEC	localization=cell rnaExtract=longPolyA	wgEncodeEH000153	2011-06-20 11:33:45
154	human	CSHL	RnaSeq	HSMM	localization=cell rnaExtract=longPolyA	wgEncodeEH000154	2011-06-20 11:33:45
155	human	CSHL	RnaSeq	HUVEC	localization=cell rnaExtract=longPolyA	wgEncodeEH000155	2011-06-20 11:33:45
156	human	CSHL	RnaSeq	HUVEC	localization=cytosol rnaExtract=longPolyA	wgEncodeEH000156	2011-06-20 11:33:45
157	human	CSHL	RnaSeq	HUVEC	localization=nucleus rnaExtract=longPolyA	wgEncodeEH000157	2011-06-20 11:33:45
158	human	CSHL	RnaSeq	HepG2	localization=nucleus rnaExtract=longPolyA	wgEncodeEH000158	2011-06-20 11:33:45
159	human	CSHL	RnaSeq	HepG2	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000159	2011-06-20 11:33:45
160	human	CSHL	RnaSeq	HepG2	localization=cell rnaExtract=longPolyA	wgEncodeEH000160	2011-06-20 11:33:45
161	human	CSHL	RnaSeq	HepG2	localization=cytosol rnaExtract=longPolyA	wgEncodeEH000161	2011-06-20 11:33:45
162	human	CSHL	RnaSeq	K562	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000162	2011-06-20 11:33:45
163	human	CSHL	RnaSeq	K562	localization=cell rnaExtract=longPolyA	wgEncodeEH000163	2011-06-20 11:33:45
164	human	CSHL	RnaSeq	NHEK	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000164	2011-06-20 11:33:45
165	human	CSHL	RnaSeq	NHEK	localization=nucleus rnaExtract=longPolyA	wgEncodeEH000165	2011-06-20 11:33:45
166	human	CSHL	RnaSeq	NHEK	localization=cytosol rnaExtract=longPolyA	wgEncodeEH000166	2011-06-20 11:33:45
167	human	CSHL	RnaSeq	NHEK	localization=cell rnaExtract=longPolyA	wgEncodeEH000167	2011-06-20 11:33:45
168	human	CSHL	RnaSeq	NHLF	localization=cell rnaExtract=longPolyA	wgEncodeEH000168	2011-06-20 11:33:45
169	human	CSHL	RnaSeq	SK-N-SH_RA	localization=cell rnaExtract=longPolyA	wgEncodeEH000169	2011-06-20 11:33:45
170	human	CSHL	RnaSeq	GM12878	localization=nucleus rnaExtract=longPolyA	wgEncodeEH000170	2011-06-20 11:33:45
171	human	CSHL	RnaSeq	HeLa-S3	localization=cytosol rnaExtract=longPolyA	wgEncodeEH000171	2011-06-20 11:33:45
172	human	CSHL	RnaSeq	HeLa-S3	localization=nucleus rnaExtract=longPolyA	wgEncodeEH000172	2011-06-20 11:33:45
173	human	CSHL	RnaSeq	HeLa-S3	localization=cell rnaExtract=longPolyA	wgEncodeEH000173	2011-06-20 11:33:45
174	human	CSHL	RnaSeq	K562	localization=nucleus rnaExtract=longPolyA	wgEncodeEH000174	2011-06-20 11:33:45
175	human	CSHL	RnaSeq	MCF-7	localization=cell rnaExtract=longPolyA	wgEncodeEH000175	2011-06-20 11:33:45
176	human	CSHL	RnaSeq	HMEC	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000176	2011-06-20 11:33:45
177	human	CSHL	RnaSeq	HSMM	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000177	2011-06-20 11:33:45
178	human	CSHL	RnaSeq	NHLF	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000178	2011-06-20 11:33:45
179	human	CSHL	RnaSeq	AG04450	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000179	2011-06-20 11:33:44
180	human	CSHL	RnaSeq	K562	localization=chromatin rnaExtract=total	wgEncodeEH000180	2011-06-20 11:33:45
181	human	CSHL	RnaSeq	K562	localization=nucleolus rnaExtract=total	wgEncodeEH000181	2011-06-20 11:33:45
182	human	CSHL	RnaSeq	K562	localization=nucleoplasm rnaExtract=total	wgEncodeEH000182	2011-06-20 11:33:45
183	human	CSHL	RnaSeq	MCF-7	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000183	2011-06-20 11:33:45
184	human	CSHL	RnaSeq	A549	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000184	2011-06-20 11:33:44
185	human	CSHL	RnaSeq	BJ	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000185	2011-06-20 11:33:45
186	human	CSHL	RnaSeq	GM12878	localization=cytosol rnaExtract=longNonPolyA	wgEncodeEH000186	2011-06-20 11:33:45
187	human	CSHL	RnaSeq	GM12878	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH000187	2011-06-20 11:33:45
188	human	CSHL	RnaSeq	HUVEC	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000188	2011-06-20 11:33:45
189	human	CSHL	RnaSeq	HUVEC	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH000189	2011-06-20 11:33:45
190	human	CSHL	RnaSeq	HeLa-S3	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH000190	2011-06-20 11:33:45
191	human	CSHL	RnaSeq	HeLa-S3	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000191	2011-06-20 11:33:45
192	human	CSHL	RnaSeq	HepG2	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH000192	2011-06-20 11:33:45
193	human	CSHL	RnaSeq	K562	localization=cytosol rnaExtract=longNonPolyA	wgEncodeEH000193	2011-06-20 11:33:45
194	human	CSHL	RnaSeq	K562	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH000194	2011-06-20 11:33:45
195	human	CSHL	RnaSeq	NHEK	localization=cytosol rnaExtract=longNonPolyA	wgEncodeEH000195	2011-06-20 11:33:45
196	human	CSHL	RnaSeq	NHEK	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH000196	2011-06-20 11:33:45
197	human	CSHL	RnaSeq	SK-N-SH_RA	localization=cell rnaExtract=longNonPolyA	wgEncodeEH000197	2011-06-20 11:33:45
198	human	CSHL	RnaSeq	H1-hESC	localization=cytosol rnaExtract=longNonPolyA	wgEncodeEH000198	2011-06-20 11:33:45
199	human	CSHL	RnaSeq	H1-hESC	localization=nucleus rnaExtract=longNonPolyA	wgEncodeEH000199	2011-06-20 11:33:45
200	human	CSHL	RnaSeq	HUVEC	localization=cytosol rnaExtract=longNonPolyA	wgEncodeEH000200	2011-06-20 11:33:45
201	human	CSHL	RnaSeq	HeLa-S3	localization=cytosol rnaExtract=longNonPolyA	wgEncodeEH000201	2011-06-20 11:33:45
202	human	CSHL	RnaSeq	HepG2	localization=cytosol rnaExtract=longNonPolyA	wgEncodeEH000202	2011-06-20 11:33:45
203	human	CSHL	RnaSeq	GM12878	localization=cytosol protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH000203	2012-02-07 11:07:54
204	human	CSHL	RnaSeq	GM12878	localization=nucleus protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH000204	2012-02-07 11:07:55
205	human	CSHL	RnaSeq	K562	localization=chromatin protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH000205	2012-02-07 11:07:55
206	human	CSHL	RnaSeq	K562	localization=cytosol protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH000206	2012-02-07 11:07:55
207	human	CSHL	RnaSeq	K562	localization=nucleolus protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH000207	2012-02-07 11:07:55
208	human	CSHL	RnaSeq	K562	localization=nucleoplasm protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH000208	2012-02-07 11:07:55
209	human	CSHL	RnaSeq	K562	localization=nucleus protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH000209	2012-02-07 11:07:55
210	human	CSHL	RnaSeq	K562	localization=polysome protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH000210	2012-02-07 11:07:55
211	human	CSHL	RnaSeq	prostate	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH000211	2012-02-07 11:07:55
212	human	CSHL	RnaSeq	GM12878	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH000212	2012-02-07 11:07:55
213	human	CSHL	RnaSeq	K562	localization=cell protocol=TAP-Only rnaExtract=shortTotal	wgEncodeEH000213	2012-02-07 11:07:55
214	human	Duke	AffyExonArray	NH-A	\N	wgEncodeEH000214	2012-04-18 10:11:31
215	human	Duke	AffyExonArray	Chorion	\N	wgEncodeEH000215	2011-05-02 12:43:26
216	human	Duke	AffyExonArray	Fibrobl	\N	wgEncodeEH000216	2011-05-02 12:43:26
217	human	Duke	AffyExonArray	GM12878	\N	wgEncodeEH000217	2011-05-02 12:43:26
218	human	Duke	AffyExonArray	GM12891	\N	wgEncodeEH000218	2011-05-02 12:43:26
219	human	Duke	AffyExonArray	GM12892	\N	wgEncodeEH000219	2011-05-02 12:43:26
220	human	Duke	AffyExonArray	GM18507	\N	wgEncodeEH000220	2011-05-02 12:43:26
221	human	Duke	AffyExonArray	GM19238	\N	wgEncodeEH000221	2011-05-02 12:43:26
222	human	Duke	AffyExonArray	GM19239	\N	wgEncodeEH000222	2011-05-02 12:43:26
223	human	Duke	AffyExonArray	GM19240	\N	wgEncodeEH000223	2011-05-02 12:43:26
224	human	Duke	AffyExonArray	Gliobla	\N	wgEncodeEH000224	2011-05-02 12:43:26
225	human	Duke	AffyExonArray	HMEC	\N	wgEncodeEH000225	2011-05-02 12:43:26
226	human	Duke	AffyExonArray	HUVEC	\N	wgEncodeEH000226	2011-05-02 12:43:26
227	human	Duke	AffyExonArray	HeLa-S3	\N	wgEncodeEH000227	2011-05-02 12:43:26
228	human	Duke	AffyExonArray	HeLa-S3	treatment=IFNa4h	wgEncodeEH000228	2011-05-02 12:43:26
229	human	Duke	AffyExonArray	HeLa-S3	treatment=IFNg4h	wgEncodeEH000229	2011-05-02 12:43:26
230	human	Duke	AffyExonArray	HepG2	\N	wgEncodeEH000230	2011-05-02 12:43:26
231	human	Duke	AffyExonArray	LHSR	\N	\N	2011-04-14 07:28:53
232	human	Duke	AffyExonArray	LHSR	treatment=androgen	\N	2011-04-14 07:28:53
233	human	Duke	AffyExonArray	LNCaP	\N	wgEncodeEH000233	2011-05-02 12:43:26
234	human	Duke	AffyExonArray	LNCaP	treatment=androgen	wgEncodeEH000234	2011-05-02 12:43:26
235	human	Duke	AffyExonArray	MCF-7	\N	wgEncodeEH000235	2011-05-02 12:43:26
236	human	Duke	AffyExonArray	MCF-7	treatment=estrogen	wgEncodeEH000236	2011-05-02 12:43:26
237	human	Duke	AffyExonArray	MCF-7	treatment=vehicle	wgEncodeEH000237	2011-05-02 12:43:26
238	human	Duke	AffyExonArray	Medullo	\N	wgEncodeEH000238	2011-05-02 12:43:26
